,Author,Rank,Rating,Score,Title,Votes
54,Lois McMaster Bujold,55,"4.37 avg rating — 11,640 ratings","score: 2,498","Cordelia's Honor (Vorkosigan Omnibus, #1)",31 people voted
55,C.J. Cherryh,56,"3.92 avg rating — 5,909 ratings","score: 2,469",The Pride of Chanur (Chanur #1),31 people voted
56,Emily St. John Mandel,57,"4.03 avg rating — 253,691 ratings","score: 2,450",Station Eleven,28 people voted
57,C.J. Cherryh,58,"really liked it 4.00 avg rating — 9,283 ratings","score: 2,316","Cyteen (Cyteen, #1-3)",30 people voted
58,Lois McMaster Bujold,59,"4.24 avg rating — 8,709 ratings","score: 2,306",Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),29 people voted
59,Lucinda   Davis,60,4.76 avg rating — 118 ratings,"score: 2,300",Goose Island,23 people voted
60,Sheri S. Tepper,61,"4.04 avg rating — 9,263 ratings","score: 2,203","Grass (Arbai, #1)",27 people voted
61,K.T. Hanna,62,4.18 avg rating — 191 ratings,"score: 2,199","Chameleon (The Domino Project, #1)",22 people voted
62,Sheri S. Tepper,63,"4.05 avg rating — 11,540 ratings","score: 2,191",The Gate to Women's Country,27 people voted
63,Joanna Russ,64,"3.54 avg rating — 5,349 ratings","score: 2,128",The Female Man,26 people voted
64,Kage Baker,65,"3.77 avg rating — 4,996 ratings","score: 2,038","In the Garden of Iden (The Company, #1)",26 people voted
65,Ceri London,66,4.44 avg rating — 133 ratings,"score: 2,013","Rogue Genesis (Shimmer in the Dark, #1)",21 people voted
66,Octavia E. Butler,67,"4.24 avg rating — 17,396 ratings","score: 2,006","Parable of the Talents (Earthseed, #2)",25 people voted
67,C.J. Cherryh,68,"4.12 avg rating — 4,627 ratings","score: 1,931",The Faded Sun Trilogy (The Faded Sun #1-3),23 people voted
68,Lois McMaster Bujold,69,"4.18 avg rating — 12,106 ratings","score: 1,914","Diplomatic Immunity (Vorkosigan Saga, #13)",26 people voted
69,Naomi Novik,70,"4.06 avg rating — 67,058 ratings","score: 1,849","His Majesty's Dragon (Temeraire, #1)",22 people voted
70,Elizabeth Moon,71,"really liked it 4.00 avg rating — 9,436 ratings","score: 1,819",The Speed of Dark,24 people voted
71,Marion Zimmer Bradley,72,"3.88 avg rating — 5,953 ratings","score: 1,748",Darkover Landfall,21 people voted
72,Hayley Stone,73,3.79 avg rating — 248 ratings,"score: 1,698","Machinations (Machinations, #1)",17 people voted
73,G.S. Jennsen,74,"4.22 avg rating — 1,042 ratings","score: 1,684","Vertigo (Aurora Rhapsody, #2)",18 people voted
74,Lois McMaster Bujold,75,"4.06 avg rating — 11,937 ratings","score: 1,683","CryoBurn (Vorkosigan Saga, #14)",24 people voted
75,Octavia E. Butler,76,"4.33 avg rating — 3,944 ratings","score: 1,659","Seed to Harvest (Patternmaster, #1-4)",20 people voted
76,Ursula K. Le Guin,77,"4.04 avg rating — 4,041 ratings","score: 1,572",The Wind's Twelve Quarters,19 people voted
77,Elizabeth Moon,78,"4.06 avg rating — 3,627 ratings","score: 1,547",Remnant Population,20 people voted
78,Ursula K. Le Guin,79,"3.95 avg rating — 12,898 ratings","score: 1,510",The Word for World is Forest,20 people voted
79,Ann Aguirre,80,"3.73 avg rating — 12,658 ratings","score: 1,497","Grimspace (Sirantha Jax, #1)",17 people voted
80,Nicola Griffith,81,"3.86 avg rating — 3,713 ratings","score: 1,477",Ammonite,20 people voted
81,Beth Revis,82,"3.77 avg rating — 107,407 ratings","score: 1,435","Across the Universe (Across the Universe, #1)",16 people voted
82,C.J. Cherryh,83,"4.19 avg rating — 3,610 ratings","score: 1,392","Inheritor (Foreigner, #3)",18 people voted
83,Mya Robarts,84,"4.02 avg rating — 7,833 ratings","score: 1,380",The V Girl,15 people voted
84,Lauren Oliver,85,"3.98 avg rating — 392,234 ratings","score: 1,366","Delirium (Delirium, #1)",15 people voted
85,Vonda N. McIntyre,86,"3.86 avg rating — 8,402 ratings","score: 1,324",Dreamsnake,18 people voted
86,Pamela Sargent,87,really liked it 4.00 avg rating — 272 ratings,"score: 1,297",Women of Wonder: Science-Fiction Stories by Women about Women,16 people voted
87,Martha Wells,88,"4.15 avg rating — 35,012 ratings","score: 1,296","All Systems Red (The Murderbot Diaries, #1)",14 people voted
88,Elizabeth Moon,89,"3.98 avg rating — 11,161 ratings","score: 1,286","Trading in Danger (Vatta's War, #1)",16 people voted
89,C.J. Cherryh,90,"4.17 avg rating — 4,058 ratings","score: 1,276","Invader (Foreigner, #2)",17 people voted
90,Marge Piercy,90,"3.95 avg rating — 12,597 ratings","score: 1,276",Woman on the Edge of Time,15 people voted
91,Maureen F. McHugh,92,"3.94 avg rating — 3,453 ratings","score: 1,253",China Mountain Zhang,18 people voted
92,S.L. Viehl,93,"3.80 avg rating — 3,632 ratings","score: 1,230","Stardoc (Stardoc, #1)",16 people voted
93,Margaret Atwood,94,"really liked it 4.00 avg rating — 52,186 ratings","score: 1,212","MaddAddam (MaddAddam, #3)",13 people voted
94,Tanya Huff,95,"3.98 avg rating — 6,895 ratings","score: 1,165","Valor's Choice (Confederation, #1)",16 people voted
95,Connie Willis,96,"3.93 avg rating — 10,067 ratings","score: 1,142",Bellwether,13 people voted
96,C.S. Friedman,97,"4.04 avg rating — 3,260 ratings","score: 1,130",This Alien Shore,15 people voted
97,Catherine Asaro,98,"3.74 avg rating — 3,686 ratings","score: 1,119","Primary Inversion (Saga of the Skolian Empire, #1)",15 people voted
98,Marissa Meyer,99,"4.29 avg rating — 265,215 ratings","score: 1,115","Scarlet (The Lunar Chronicles, #2)",12 people voted
99,Nancy Kress,100,"3.61 avg rating — 1,291 ratings","score: 1,107","Probability Moon (Probability, #1)",15 people voted
