,Popularity,Title,URL,Year,Lyrics
10,7,Across The Universe,http://www.metrolyrics.com/across-the-universe-lyrics-beatles.html,1988,"Words are flowing out
Like endless rain into a paper cup
They slither while they pass
They slip away across the universe
Pools of sorrow waves of joy
Are drifting through my open mind
Possessing and caressing me
Jai Guru Deva, om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Images of broken light
Which dance before me like a million eyes
They call me on and on across the universe
Thoughts meander like a restless wind
Inside a letter box
They tumble blindly as they make their way
Across the universe
Jai Guru Deva, om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Sounds of laughter shades of earth
Are ringing through my open views
Inciting and inviting me
Limitless undying love
Which shines around me like a million suns
It calls me on and on across the universe
Jai Guru Deva, om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva"
11,3,Act Naturally,http://www.metrolyrics.com/act-naturally-lyrics-beatles.html,2014,"They're gonna put me in the movies
They're gonna make a big star out of me
We'll make a film about a man that's sad and lonely
And all I gotta do is act naturally
Well, I'll bet you I'm gonna be a big star
Might win an Oscar, you can never tell
The movies gonna make me a big star
'Cause I can play the part so well
Well I hope you'll come and see me in the movies
Then I'll know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally
We'll make the scene about a man that's sad and lonely
And beggin' down upon his bended knee
I'll play the part but I won't need rehearsing
All I have to do is act naturally
Well, I'll bet you I'm gonna be a big star
Might win an Oscar you can never tell
The movies gonna make me a big star
'Cause I can play the part so well
Well I hope you'll come and see me in the movies
Then I'll know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally"
12,1,Ain't She Sweet,http://www.metrolyrics.com/aint-she-sweet-lyrics-beatles.html,2013,"Oh ain't she sweet,
When you see her walking down the street.
Yes I ask you very confidentially:
Ain't she sweet?
Oh ain't she nice,
When you look her over once or twice.
Yes I ask you very confidentially:
Ain't she nice?
Just cast an eye
In her direction.
Oh me oh my,
Ain't that perfection?
Oh I repeat
Well don't you think that's kind of neat?
Yes I ask you very confidentially:
Ain't she sweet?
Oh ain't she sweet,
When you see her walking down the street.
Well I ask you very confidentially:
Ain't she sweet?
Oh ain't that nice,
When you look her over once or twice.
Yes I ask you very confidentially:
Ain't she nice?
Just cast an eye
In her direction.
Oh me oh my,
Ain't that perfection?
Oh I repeat
Well don't you think that's kind of neat?
Yes I ask you very confidentially:
Ain't she sweet?
Oh ain't she sweet,
When you see her walking down the street.
Well I ask you very confidentially:
Ain't she sweet?
Well I ask you very confidentially:
Ain't she sweet?"
13,3,All I've Got to Do,http://www.metrolyrics.com/all-ive-got-to-do-lyrics-beatles.html,2006,"Whenever I want you around, yeah
All I gotta do
Is call you on the phone
And you'll come running home, yeah
That's all I gotta do.
And when I, I wanna kiss you, yeah
All I gotta do
Is whisper in your ear
The words you long to hear
And I'll be kissing you
And the same goes for me
Whenever you want me at all
I'll be here yes I will
Whenever you call
You just gotta call on me, yeah
You just gotta call on me
And when I, I wanna kiss you, yeah
All I got to do
Is call you on the phone
And you'll come running home, yeah
That's all I gotta do.
And the same goes for me
Whenever you want me at all
I'll be here, yes I will
Whenever you call
You just gotta call on me
You just gotta call on me.
Oh, you just gotta call on me"
14,6,All My Loving,http://www.metrolyrics.com/all-my-loving-lyrics-beatles.html,1973,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send All My Loving to you
I'll pretend that I'm kissing
the lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home ev'ry day
And I'll send All My Loving to you
All My Loving I will send to you
All My Loving, darling I'll be true
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home ev'ry day
And I'll send All My Loving to you
All My Loving I will send to you
All My Loving darling I'll be True
All My Loving All My Loving ooh
All My Loving I will send to you"
15,0,All My Loving (Original Mono),http://www.metrolyrics.com/all-my-loving-original-mono-lyrics-beatles.html,2006,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send All My Loving to you
I'll pretend that I'm kissing 
the lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home ev'ry day
And I'll send All My Loving to you
All My Loving I will send to you
All My Loving, darling I'll be true
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home ev'ry day
And I'll send All My Loving to you
All My Loving I will send to you
All My Loving darling I'll be True
All My Loving All My Loving ooh
All My Loving I will send to you"
16,1,All My Loving (Stereo),http://www.metrolyrics.com/all-my-loving-stereo-lyrics-beatles.html,2006,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send All My Loving to you
I'll pretend that I'm kissing 
the lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home ev'ry day
And I'll send All My Loving to you
All My Loving I will send to you
All My Loving, darling I'll be true
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home ev'ry day
And I'll send All My Loving to you
All My Loving I will send to you
All My Loving darling I'll be True
All My Loving All My Loving ooh
All My Loving I will send to you"
17,0,All Things Must Pass,http://www.metrolyrics.com/all-things-must-pass-lyrics-beatles.html,2000,"Sunrise doesn't last all morning.
A cloudburst doesn't last all day.
Seems my love is up
And has left you with no warning.
It's not always been this gray.
All things must pass.
All things must pass away.
Sunset doesn't last all evening.
A mind can blow those clouds away.
After all this
My love is up and must be leaving.
It's not always been this gray.
All things must pass.
All things must pass away.
All things must pass.
None of life's dreams can last.
So, I must be on my way
To face another day
Now darkness only stays the nighttime.
In the morning it will fade away.
Daylight is good
At arriving at the right time.
It's not always gonna be this gray.
All things must pass.
All things must pass away.
All things must pass.
All things must pass away."
18,0,All Those Years Ago,http://www.metrolyrics.com/all-those-years-ago-lyrics-beatles.html,2000,"I'm shouting all about love
While they treated you like a dog
When you were the one who had made it so clear
All those years ago
I'm talking all about how to give
They don't act with much honesty
But you point the way to the truth when you say
""All you need is love""
Living with good and bad
I always looked up to you
Now we're left cold and sad
By someone, the devil's best friend
Someone who offended all
We're living in a bad dream
They've forgotten all about mankind
And you were the one they backed up to the wall
All those years ago
You were the one who imagined it all
All those years ago.
(All those years ago)
(All those years ago)
Deep in the darkest night
I send out a prayer to you
Now in the world of light
Where the spirit free of lies
And all else that we despised
They've forgotten all about God
He's the only reason we exist
Yet you were the one that they said was so weird
All those years ago
You said it all though not many had ears
All those years ago
You had control of our smiles and our tears
All those years ago.
All those years ago ...
All those years ago ...
All those years ago ..."
19,5,All Together Now,http://www.metrolyrics.com/all-together-now-lyrics-beatles.html,2000,"One, two, three, four
Can I have a little more?
Five, six, seven-eight-nine-ten
I love you.
A, B, C, D
Can I bring my friend to tea?
E, F, G-H-I-J
I love you.
(Bom bom bom bom-ba-bom)
Sail the ship
(Bom-ba-bom)
Chop the tree
(Bom-ba-bom)
Skip the rope
(Bom-ba-bom)
Look at me.
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now.
Black, white, green, red
Can I take my friend to bed?
Pink, brown, yellow, orange, and blue
I love you.
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now.
(Bom bom bom bom-ba-bom)
Sail the ship
(Bom-ba-bom)
Chop the tree
(Bom-ba-bom)
Skip the rope (help me)
(Bom-ba-bom)
Look at me.
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now
(All together now)
All together now.
Whoo!"
